abandon	terketmek, bırakıp kaçmak
aside	kenara, yana, oyuncunun sahnede kendi kendine veya seyircilere söylediği sözler
ask	sormak, istemek
askance	hoşlanmaksızın beğenmeyerek bakmak, göz ucuyla yan yan bakmak
asleep	uykuda, uyumakta, uyuşmuş, hissizleşmiş
asparagus	kuşkonmaz
aspect	görünüş, manzara, cephe, düşüncelerin vbçeşitli yönlerinden yalnız bir tanesi
asphalt	asfalt
asphyxiate	boğmak
asphyxiation	oksijen yokluğundan boğulma
aspirate	h harfinin sesini çıkarma veya bu harfin kendisi
aspire	kazanmayı çok istemek, can atmak
aspiration	şiddetli istek, arzu, özlem
ass	eşek, merkep, ahmak, aptal, budala, kıç, popo
assassinate	suikastte bulunmak, öldürmek
assassination	suikast, cinayet
assassin	suikastçı, kiralık katil
assault	saldırmak, tecavüz etmek
assemble	toplamak, monte etmek, parçaları yerli yerine takmak
aseembly	bir amaçla bir araya gelen topluluk, bir çok parçaların bir araya gelip oluşturduğu şey, parçaları bir araya getirme, montaj
assembly line	montaj hattı
assent	kabul etmek, olur demek
assert	kesinlikle söylemek, hak iddia etmek
assertion	kesinlikle belirtme
assess	bir malın mülkün değerini hesaplamak
assessment	değerlendirme
assessor	vergi memuru veya sigorta eksperi
asset	değerli bir nitelik, kişinin sahip olduğu mal, mal mülk
assiduous	sürekli çalışan ve ayrıntılara önem veren, gayretli, dikkatli
assign	pay veya görev olarak vermek, atamak
assignment	atama, okul ödevi
assimilate	sindirmek, hazmetmek, kendine mal etmek, kavrayıp anlamak
assimilation	özümleme, benzeşme
assist	yardım etmek
assistance	yardım
assistant	asistan, yardımcı
assizes	gezici mahkeme duruşmaları
associate	iş arkadaşı, meslekdaş, ortak
association	ortaklık, aralarında ilişki kurma, çağrışım, dernek, cemiyet, birlik
assortment	ayrı ayrı şeylerden oluşan karışım
assorted	çeşitli, türlü türlü, karışık
assume	farzetmek, varsaymak, yüklenmek, üzerine almak
assumption	farz, üstlenme
assumed	sahte
assure	söz vermek, vaad etmek, garanti etmek, hayatını sigorta ettirmek
assurance	güvence, teminat, söz, vaat, kendine güven, sigorta
asterisk	yıldız işareti
astern	geminin arka tarafında, kıçında
asteroid	asteroid, küçük gezegen
asthma	nefes darlığı, astım
astonish	şaşırtmak, affallatmak
astonishing	şaşırtıcı
astonishment	şaşkınlık, hayret
astound	hayretler içinde bırakmak, feleğini şaşırtmak
astounding	şaşırtıcı, hayretler verici
astray	yoldan sapmış, yolunu şaşırmış
astride	ata binermiş gibi bacakları ayrık
astrology	astroloji, yıldız falcılığı
astrologer	müneccim
astonaut	astronot, uzay adamı
astronomy	gökbilim, astronomi
astronomer	gökbilimci
astronomical	gökbilim ile ilgili, çok büyük, inanılmaz derecede
astute	zeki, akıllı, cin fikirli
asylum	akıl hastanesi, sığınılacak yer, sığınak, barınak
at	-de, -da, bir yerde, halinde, o sırada, o zamanda, bir şeyi yapmakta, -e doğru
atheist	tanrı tanımaz, ateist
atheism	tanrı tanımazlık
athlete	atlet, sporcu
athletic	atletik
athletics	atletizm
atmosphere	atmosfer, havaküre, hava, ortamdan edinilen duygu
atoll	mercan adası
atrocious	acımasız, merhametsiz, tüyler ürpertici
atrocity	çok kötü davranış
attach	bağlamak, tutturmak, yapıştırmak, önemli saymak, değer vermek
attachment	eklenmiş bir şey, sevgi, bağlılık, dostluk
attack	hücum etmek, saldırmak, nöbet, kriz
attacker	saldıran
attain	ulaşmak, varmak, erişmek
attainable	ulaşılabilir, erişilebilir
attainment	ulaşma, varma, bir beceri, bir ustalık
attempt	girişmek, kalkışmak, denemek
attend	gitmek, devam etmek, dikkat etmek, zihnini vermek, kulak vermek, meşgul olmak, bakmak
attendance	hazır bulunma
attendant	refakatçi, hizmetçi
attention	dikkat, nezaket, hazırol vaziyeti
attentive	dikkatli
attentively	dikkatle
attenuate	zayıflatmak, şiddetini azaltmak
attic	tavan arası
attire	elbise, giysi
attitude	davranış, tutum, tavır
attorney	avukat
attract	dikkatini çekmek, cezbetmek, etkilemek, kendine doğru çekmek
attractive	çekici, cazip, alımlı, albenili, güzel, büyüleyici
attraction	çekim, çekme gücü, çekicilik, büyüleyici şey
attribute	nitelik, özellik, sıfat, vasıf, sembol, nişan, timsal, bir şeye sonucu olduğuna inanmak, ilgili saymak, atfetmek
attrition	yıpranma, aşındırma
aubergine	patlıcan
auburn	kumral, kestane rengi
auction	mezat, müzayede, açık arttırma
auctioneer	mezatçı
audacious	cesur, gözüpek, cüretkar, atılgan, küstah, terbiyesiz, yüksek mevkide olana karşı korkusuz
audacity	küstahlık, cüret
audible	duyulabilir, işitilebilir
audience	izleyiciler, seyredenler, huzura kabul, resmi kabul
audio	ses
audio-visual	görsel-işitsel
audit	muhasebe işlerini resmen incelemek, denetim, kontrol
audition	ses veya oyun yeteneği sınavı
auditorium	konferans veya konser salonu
augment	bir şeyleri ekleyerek çoğaltmak veya büyütmek
august	Ağustos, soylu, görkemli
aunt	hala, teyze, yenge
au pair	dil öğrenmek için bir ailenin yanında kalıp evdeki işlere yardım eden yabancı uyruklu kişi
auspices	bir şeyin destek ve yardımları ile, himayesinde
auspicious	başarı umudu veren, uğurlu, hayırlı
auspiciously	hayırlı bir şekilde
austere	sert ve haşin, süssüz, sade, yalın
austerity	halkın zaruri olmayan mala harcama yapamadığı ve iş aleminin sıkıntıya düştüğü iktisadi durum
authentic	sahici, hakiki, gerçek
authenticate	bir şeyin gerçekliğini kanıtlamak
authenticity	sahicilik, gerçeklik
author	yazar, müellif, yaratıcı
authority	yetki, nüfuz, otorite, yetkililer, uzman kişi
authoritarian	otoriter, kurallara uyucu
authoritative	doğru ve güvenilir, otoriteye sahip
authorize	yetki vermek
authorization	bir şeyi yapmak için izin, yetki
auto	araba
autobiography	özyaşam öyküsü
autocracy	mutlakiyet, istibdat, otokrasi
autocratic	zorba, despot
autocrat	mutlak hükümdar, dediği dedik kimse
autograph	imza
autocue	spikerin önünden yazı geçiren aygıt
automatic	kendiliğinden işleyen, otomatik
automation	otomasyon
automobile	araba
autonomy	özerklik
autonomous	özerk, kendi kendini idare eden
autopsy	otopsi
autumn	sonbahar, güz, hazan
auxiliary	yardımcı, takviye
avail	yararlanmak, istifade etmek, işe yararlık
available	kullanılmaya hazır, elde mevcut, görüşülebilir, ziyarete uygun
availability	mevcut olma
avalanche	çığ, yığın
avarice	para hırsı, tamah
avenge	öç almak, intikam almak
avenue	yol, geniş cadde
average	ortalama, alışılmış, sıradan
averse	bir şeyden hoşlanmayan, karşı olan
aversion	nefret, tiksinme
avert	olmasını önlemek, meydan vermemek, önüne geçmek
aviary	büyük kuş kafesi
aviation	havacılık, uçak yapımı, uçak sanayisi
avid	çok istekli, arzulu, doymaz, haris
avidly	hırsla, can atarak
avoid	atlatmak, uzak durmak, anlamamazlıktan gelmek, kaçınmak, sakınmak
avoidance	sakınma, kaçınma
avoidable	atlatılabilir, kaçınılabilir
await	beklemek
awake	uyanık, farkında, bilincinde, uyanmak, uyandırmak
awaken	birinin gözünü açmak, haberdar etmek
award	ödül
aware	farkında, haberdar, bilincinde
awareness	farkındalık
awash	dalgalara kapılmış
away	uzağa, öteye, başka bir yere, yavaş yavaş yok olmak
awe	korku ve hayranlıkla karışık saygı duygusu
awe-inspiring	korku ve hayranlıkla karışık saygı uyandıran
awesome	korkunç, müthiş
awe-struck	dili tutulmuş, dehşete düşmüş
awful	korkunç, müthiş, berbat, çok kötü
awfully	çok, son derece
awhile	biraz
awkward	hantal, sakar, kullanışsız, elverişsiz, güçlük çıkaran
awkwardly	beceriksiz bir şekilde, vakitsiz
awkwardness	beceriksizlik, sıkıntı
awl	derilerin dikiminde iğnenin geçeceği deliği açan alet
awning	tente, güneşlik
axe	balta
axis	eksen, mihver
axle	dingil, aks, tekerlek mili
azure	gök mavisi
babble	çocukça anlamsız sözler
baboon	şebek
baby	bebek, sevgilim, yavrum, tatlım
babyhood	bebeklik devresi
babyish	bebekçe
baby-minder	bebeklere kendi evinde bakan bakıcı
baby-sitter	bebeklere onların evinde bakan bakıcı
baby-sit	bebek bakmak
bachelor	bekar erkek, üniversite mezunu
back	sırt, arka, tersi, geriye, arkada, geride, desteklemek, cesaret vermek, yarışlarda bir at üzerine oynamak
backbone	belkemiği
backfire	ters tepme
background	arkaplan, artalan, yetişim
backhand	teniste elin tersiyle yapılan vuruş
backstroke	sırtüstü yüzüş
backbiter	arkadan konuşan, çekiştiren kişi
backbiting	arkadan çekiştirme
backing	yardım, teşvik
backward	geri, geriye doğru, az gelişmiş
backwards	geriye, arkaya, geri geri
bacon	domuz pastırması
bacteria	bakteri
bad	kötü, fena, niteliksiz, bozuk, çürük, hasta, keyifsiz, üzücü
badly	fena halde, çok fazla
badge	nişan, rozet
badger	porsuk
baffle	şaşırtmak, aklını karıştırmak
baffling	şaşırtıcı, aldatıcı
bag	çanta, torba, heybe, çuval, kese kağıdı, çantaya koymak, av, avlamak
baggage	yolcu eşyası, bagaj
bagpipes	gayda, tulum
bail	kefalet, tazminat
bailiff	icra memuru, mübaşir
bait	yem
bake	fırında pişmek, ateşte kuruyup pişmek, pişirmek
baker	fırıncı, ekmekçi
bakery	fırın, ekmekçi dükkanı, pastacı
balance	dengede tutmak, denkleştirmek, denge, karşıt ağırlık, denge unsuru, bakiye, kalıntı, terazi
balanced	dengeli, düşmeyen, aklı başında
balcony	balkon
bald	kel, saçsız, dazlak, yalın, çıplak, harbi
bale	balya, denk
baleful	kin ve nefret dolu, kötü niyetli, uğursuz
balk	güç bir durum ile yüzyüze gelmek istememek
ball	top, yumak, balo, eğlence, rulman, bilyeli yatak, bilye
ballroom	balo salonu, dans salonu
ballad	balad
ballast	safra
ballerina	balerin
ballet	bale
ballistics	balistik
balloon	balon
ballot	gizli oylama
balmy	yumuşak, tatlı ve ılık
bamboo	bambu, hintkamışı
bamboozle	aldatmak, dolandırmak, şaşırtmak
ban	yasaklamak, menetmek, yasaklama emri
banal	adi, bayağı, yavan, basmakalıp, sıradan
banana	muz
band	müzik topluluğu, takım, güruh, çete, bant, şerit, kurdele, bir araya gelmek
bandage	sargı, bandaj
bandit	haydut, eşkiya
bandy	eğri, çarpık, dalaşmak, atışmak
bang	gürültü, güm veya bam sesi, darbe
bangle	bilezik, halhal
banish	sürgün etmek, sürmek, kovmak
banister	tırabzan, merdiven korkuluğu
bank	kıyı, kenar, yaka, set, dönerken hafifçe yana yatmak, banka, bankası
banker	banka sahibi yada hissedarı
banking	bankacılık
banknote	banknot, kağıt para
bankrupt	iflas etmiş
bankruptcy	iflas durumu
banner	pankart, döviz
banns	evlilik duyurusu
banquet	ziyafet
baptism	vaftiz
baptize	vaftiz etmek
bar	kalıp, katı ve uzunca bir parça, engel, bar, meyhane, sürgülemek, engellemek
barmaid	kadın barmen
barman	meyhaneci, barmen
bartender	barmen
barbarian	barbar, görgüsüz, kaba ve yabani, uygar olmayan
barbaric	uygar olmayan, vahşi
barbed wire	dikenli tel
barber	berber
bare	çıplak, bomboş, tamtakır, çıplak, ancak yetecek kadar
bareness	çıplaklık
barely	ancak, kıtı kıtına, hemen hiç, daha henüz
bareback	eğersiz
barefaced	utanmaz, arlanmaz, yüzsüz
barefoot	yalın ayak
bargain	pazarlık, kelepir
barge	mavna, paldır küldür içeri dalmak
bark	havlama, köpek sesi, ağaç kabuğu
barley	arpa
barn	ahır, ambar
barnacle	barometre, basınç ölçer
barracks	kışla
barrage	engelleme ateşi, baraj, büyük bent
barrel	fıçı, namlu
barren	meyvasız, çorak, verimsiz, kıraç, kısır
barricade	barikat, engel
barrier	bariyer, engel
barrister	avukat
barrow	el arabası
barrow-boy	sokak satıcısı
barter	takas yapmak
base	taban, kaide, temel, üs, merkez, dayandırmak, tesis etmek, aşağılık, adi
basement	bodrum katı
bash	fena halde vurmak, küt diye vurmak
bashful	utangaç, sıkılgan, mahçup
basic	başlıca, temel, ana, esas
basically	esasında, aslında
basin	leğen, küvet, geniş yayvan bir kap, havza, yuvarlak ve uzunca bir vadi
basis	temel, esas
bask	tatlı bir sıcaklıkta uzanmak, güneşlenmek
basket	sepet, küfe
bass	bas, levrek
bastard	piç
baste	kızarmakta olan etin üzerine erimiş yağ dökmek
bastion	kale burcu
bat	sopa, yarasa
batch	yığın, takım, sürü, fırın dolusu
bath	banyo küveti, yıkanma, banyo, hamam, yüzme havuzu, yıkamak
bathroom	banyo, tuvalet
bathrobe	bornoz
bathtub	banyo küveti
bathe	suya girmek, denize girmek, bir şeyi dikkatle yıkamak
battalion	tabur
batter	güm güm vurmak, dövmek, sulu hamur
battery	pil, batarya, topçu bölüğü
battle	muharebe, çatışma, savaşmak, mücadele
battlefield	savaş alanı
battleship	zırhlı, harp gemisi
battlement	mazgallı siper
bawl	avazı çıktığı kadar bağırmak
bay	körfez
bayonet	süngü, kasatura
bazaar	çarşı, kermes
beach	sahil, kumsal
beacon	tehlikeyi haber vermek için kullanılan demet ışık
bead	boncuk, tesbih tanesi, ufak bilye
beady	boncuk gibi, küçücük, pırıl pırıl
beak	gaga
beaker	geniş ağızlı ve sapsız içki bardağı, beher
beam	kriş, direk, şua, ışık, ışın, gülümseme, tebessüm
bean	fasulye, bakla, bezelye
bear	taşımak, çekmek, meyva vermek, katlanmak, ayı
bearable	katlanılabilir
bearer	evrak mektup taşıyan kimse, uşak
bearing	ilgi, bağlantı, mil yatağı, duruş
bearings	mevki
beard	sakal
bearded	sakallı
beast	hayvan, hödük, kaba saba
beastly	berbat, rezil, kepaze
beat	dövmek, ardarda vurmak, yenmek, düzenli biçimde vurmak, vuruş, atış, tempo, devriye
beater	mikser, çırpma makinesi
beauty	güzellik
beautify	güzelleştirmek
beautiful	güzel
beaver	kunduz
becalmed	hareketsiz, kımıldamayan
because	çünkü, zira, şundan dolayı
beckon	el ile işaret etmek
become	olmak, dönüşmek
becoming	giyene yakışan
bed	yatak, uyunan yer, deniz nehir göl yatağı, çiçeklik, tarh, taban, temel
bedbug	tahta kurusu
bedclothes	yatak üstü takımı
bedpan	yatak lazımlığı
bedridden	yatalak
bedroom	yatak odası
bedlam	gürültülü patırtılı yer
bedraggled	pejmurde, saçı başı dağınık
bee	arı, bal arısı
beehive	arı kovanı
beech	kayın ağacı
beef	sığır eti
beer	bira
beet	pancar
beetle	böcek
beetroot	pancar, kırmızı pancar
befall	başına gelmek
before	önce, daha önce, önünde
beforehand	önceden, evvelden
beg	dilemek, rica etmek, yalvarmak, dilenmek
beggar	dilenci
begin	başlamak, başlatmak
beginning	başlangıç
beginner	yeni başlayan, acemi
begrudge	gözü kalmak, haset etmek, vermek istememek, çok görmek
behalf	birisi veya bir şey için
behave	davranmak, hareket etmek, kibar ve nazik biçimde
behaviour	davranış
behead	kafasını kesmek, boynunu vurmak, kellesini uçurmak
behind	arka tarafına, gerisine, geç, geri kalmış, kıç, popo
beige	bej
being	varlık, insan, yaşam, mevcudiyet, var oluş
belch	geğirmek, püskürtmek
belfry	çan kulesi
belie	yanlış bir izlenim vermek
belief	inanç, güven, iman, itikat
believe	inanmak, güvenmek
believable	inanılabilir
believer	inanan kimse, mümin
belittle	küçüksemek, azımsamak
bell	çan, zil, kampana, çıngırak
bellboy	otelde bavul taşıyan kişi
belligerent	kavgacı, döğüşmeye hazır
bellow	böğürmek
bellows	körük
belly	karın, şişmek, rüzgarla dolmak
bellyache	karın ağrısı
belly button	göbek
belong	ait olmak, malı olmak, topluluğun üyesi olmak, yeri orası olmak
belongings	kişisel eşyalar
beloved	çok sevilen, sevgili
below	altında, aşağıda, aşağısında
belt	kemel, bel kayışı, kuşak
bench	sıra, bank, kanepe, tezgah, mahkeme, yargıç kürsüsü
bend	eğmek, bükmek, kıvrılmak
beneath	altında, altta
benediction	dua, takdis, kutsama
benefactor	hayırsever, iyiliksever, bağışta bulunan
beneficial	yararlı, faydalı
beneficiary	varis
benefit	yardım, yarar, avantaj, yardım parası
benevolent	yardımsever, nazik ve iyiliksever
benevolence	yardımseverlik
benign	habis olmayan, tehlikesiz
bent	eğilim, doğal yetenek
bequeath	miras bırakmak
bequest	miras
bereave	ayırmak, yoksun bırakmak, mahrum etmek
bereavement	ölüm nedeniyle birisini kaybetme
beret	bere
berry	ufak yuvarlak bir meyve
berserk	kızgınlıktan çılgına dönmüş
berth	ranza, kuşet, rıhtım, palamar yeri, rıhtıma yanaştırmak
beseech	yalvarmak, rica etmek
beset	musallat olmak, kuşatmak
beside	yanında, bitişiğinde
besides	ayrıca, üstelik, zaten
besiege	kuşatmak, çevirmek, başına üşüşmek, soru yağmuruna tutmak
bespectacled	gözlüklü
best	en iyi
bestow	resmen vermek, bağışlamak, ihsan etmek
bet	bahse girmek
betide	olmak, meydana gelmek
betray	ihanet etmek, ele vermek, gerçek nitelikleri açığa çıkarmak
betrayal	ihanet
better	daha iyi, düzeltmek, iyileştirmek
between	arasında
beverage	meşrubat, içecek
beware	dikkatli olmak, sakınmak
bewilder	şaşırtmak, şaşkına çevirmek, sersemletmek
bewildering	şaşırtıcı
bewilderment	şaşkınlık, hayret
bewitch	büyü yapmak, hayran bırakmak, büyülemek
bewitching	cazibeli
beyond	ötesinde, ötesine, erişilmez durumda, sınırlar dışında
bias	önyargı, peşin hüküm
biassed	önyargılı, taraf tutan
bib	mama önlüğü
bibliography	kaynakça
biceps	pazı
bicker	ufak tefek konularda tartışmak
bickering	ufak tefek konularda atışma
bicycle	bisiklet
bid	açık arttırmada fiyat vermek, pey sürme, emretmek
bidder	açık arttırmada fiyat veren
bidding	fiyat teklifinde bulunma
bidet	ayaklı küvet
big	büyük, iri, kocaman
big shot	çok önemli kimse, kodaman
bigwig	çok önemli kimse, kodaman
bigamy	iki eşlilik
bigot	kaba, sofu, bağnaz, yobaz
bigoted	bağnaz, dar görüşlü
bigotry	bağnazlık, yobazlık, darkafalılık
bike	bisiklet
bilateral	iki taraflı
bile	safra, öd
bilious	aşırı safra nedeniyle olan, insanın içini bayıcı
bill	gaga, kuş gagası, hesap pusulası, fatura, yasa tasarısı, banknot, kağıt para
billposter	afişçi
billboard	büyük reklam panosu, ilan tahtası
billfold	para cüzdanı
billet	askerlerin kaldığı lojman
billiards	bilardo
bin	geniş ağızlı büyük kap
dustbin	çöp tenekesi
bind	bağlamak, uymaya zorlamak
binding	ciltleme, cilt
binoculars	dürbün
biochemistry	biokimya
biography	biyografi, hayat hikayesi
biographical	biyografiyle ilgili
biology	biyoloji
biological	biyolojik
biologist	biyolog
bionic	biyonik, insan üstü
birch	huş ağacı, kayın ağacı
bird	kuş, kız
birth	doğum, doğma, bir şeyin başlangıcı
birthday	doğum günü
birthmark	doğum lekesi
birthplace	doğum yeri
birth certificate	doğum belgesi, nüfus cüzdanı
biscuit	bisküvi
bisect	ikiye bölmek
bishop	piskopos
bistro	küçük lokanta
bit	ufak bir parça, azıcık, matkap ucu, gem, epeyce, oldukça
bitch	kancık, dişi köpek, karı, kahpe, orospu
bite	ısırmak, dişlemek, sokmak, oltaya vurmak, ısırılmış parça
biting	acı, keskin, zalim, acımasız
bitter	acı, keskin, üzücü, acı sonlu, nefret dolu
bitterness	acılık, sertlik
bivouac	geçici asker yada dağcı kampı
bizarre	çok garip, acayip, tuhaf
blab	boşboğazlık etmek
blabbermouth	boşboğaz
black	siyah, kara renk, zenci, çok kötü, berbat, iç karartıcı
blacken	kararmak
blackbird	kara tavuk
blackboard	kara tahta
blackhead	ciltten çıkan ufak sivilce, kara nokta
blackleg	greve katılmayıp çalışan işçi
blacklist	kara liste
blackmail	şantaj
blackout	geçici bilinç kaybı, karartma
bladder	sidik torbası, mesane, futbol topu lastiği, iç lastik
blade	bıçak ağzı, bir şeyin uzun yassı kısmı
blame	kabahatli bulmak, kınamak
blameless	suçsuz, kabahatsiz
blancmange	sütlü pelte
bland	çok kibar ve nazik, gücendirmeyen, hafif ve hazmı kolay
blank	yazısız, boş, boş yer, kurşunsuz fişek, boşluk
blank cheque	açık çek
blankly	boş boş
blanket	battaniye, kalın bir örtü
blare	bangır bangır bağırmak
blaring	bangır bangır öten
blasphemy	tanrı hakkında saygısızca konuşma, küfür
blasphemous	kutsal şeylere hürmetsiz, saygısız
blast	ani ve şiddetli hava akımı, nefesli çalgılardan çıkan ses, patlama, infilak, havaya uçurmak
blasted	yere batası, kör olası
blast-off	roketin yerden kalkışı
blatant	pervasız, utanmaz, aşikar, şamatalı ve adi
blaze	alev, pırıl pırıl bir ışık, alev alev yanmak, güçlü bir duyarlılık göstermek
blazing	alev alev
blazer	bir tür spor ceket
bleach	çamaşır suyu ağartıcı
bleak	soğuk rüzgarlara açık, rüzgardan korumasız, cesaret kırıcı, soğuk, dostça olmayan
bleary	kırmızı ve sulu sulu
bleary-eyed	mahmur, uykulu
bleat	melemek
bleed	kanamak, kan kaybetmek
bleeding	kanama
blemish	kusur, leke
blend	harmanlamak, uyuşmak
bless	Tanrının lütfunu istemek, kutsamak, takdis etmek
blessing	hayır dua, lütuf, kutsama, inayet
blight	bir bitki hastalığı, ümitleri boşa çıkaran bir şey
blind	kör, çıkmaz, çekme perde
blindly	körükörüne
blindness	körlük
blindfold	göz bağı
blink	kırpmak, kırpıştırmak
blinkers	göz siperi
bliss	büyük mutluluk, bahtiyarlık
blissful	mutlu, bahtiyar
blissfully	neşeyle, mutluluk içinde
blister	kabarcık, su toplama, tahta boyasının kabarması
blithe	mutlu ve şen
blithely	vicdan azabı çekmeden, üzülmeden
blizzard	tipi, şiddetli kar fırtınası
bloated	çok şişman, sağlıksız biçimde şişman
blob	damla, ufak yuvarlak bir şey
block	büyük parça, kütle, blok, büyük ve yüksek apartman, bölüm, kesim, tıkanıklık, engellemek
blockage	tıkanma, tıkanıklık
blockade	abluka, kuşatma
blond	şarışın erkek
blonde	şarışın kadın
blood	kan
bloody	kanlı, kana bulanmış, Allahın belası
bloodhound	bir cins iri köpek
bloom	çiçek, çiçek açmak, bir şeyin en iyi zamanı
blossom	bir meyve ağacının çiçekleri, çiçek açmak
blot	mürekkep lekesi, kurutma kağıdı ile kurutmak, mürekkeple kirletmek
blotch	şekilsiz deri lekesi, derideki kızarmış kabartı
blotchy	lekelei
blottor	zil zurna sarhoş
blouse	bluz
blow	esmek, uçmak, uçurmak, üfleyerek çalmak, öttürmek, atmak, patlamak, yanmak, vuruş, darbe, şok, yıkım
blue	mavi renk
blueprint	ozalit kopya, bir işin planı ya da projesi
bluff	blöf yapmak, kurusıkı atmak
blunder	gaf, aptalca hata
blunt	küt, kör, keskin olmayan, kaba ve açık konuşan
bluntly	açıkça
bluntness	pervasızlık, lafını esirgememe
blur	bulanıklaştırmak, bulandırmak
